success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,key_press,task_type,correct_response,correct,
TRUE,fullscreen,0,2675,0.0-0.0,,,,,,,
,html-keyboard-response,1,3813,0.0-1.0,1136.22,"<p> In this task, you will see a set of three symbols. These symbols can be the number 1, 2, 3, or the letter X. Two of the symbols will be the same, and one will be different.</p><p> Your task is to press the number on your keyboard corresponding to the symbol which is <strong>different</strong> from the other two.</p><p>During some trials, the position of the symbol which is different will match the position of the button you must press: </p><p style = 'font-size: 150%'> 1 X X </p><p>(Here, you would press 1.)</p><p> During other trials, the position of the symbol which is different will <strong>not</strong> match the position of  the button you must press: </p><p style = 'font-size: 150%'> 2 3 3 </p><p>(Here, you would press 2.)</p><p>Each trial will be followed by fixation on a black cross.<p> The following page is a test to check your understanding of the instructions.</p><p>Press any key to continue.</p>",32,,,,
,html-keyboard-response,2,9111,0.0-2.0-0.0,4283.48,<p class='task'>X 2 X</p>,50,control,2,TRUE,
,html-keyboard-response,3,10874,0.0-2.0-1.0,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,html-keyboard-response,4,11923,0.0-2.0-0.1,1044.275,<p class='task'>1 2 2</p>,50,congruent,1,FALSE,
,html-keyboard-response,5,12683,0.0-2.0-1.1,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,html-keyboard-response,6,13430,0.0-2.0-0.2,744.2749999,<p class='task'>2 1 1</p>,50,incongruent,2,TRUE,
,html-keyboard-response,7,14438,0.0-2.0-1.2,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,html-keyboard-response,8,14936,0.0-2.0-0.3,495.1850001,<p class='task'>1 X X</p>,50,control,1,FALSE,
,html-keyboard-response,9,16440,0.0-2.0-1.3,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,html-keyboard-response,10,17087,0.0-2.0-0.4,645.8150002,<p class='task'>1 1 3</p>,50,congruent,3,FALSE,
,html-keyboard-response,11,17592,0.0-2.0-1.4,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,html-keyboard-response,12,18355,0.0-2.0-0.5,760.95,<p class='task'>3 3 1</p>,50,incongruent,1,FALSE,
,html-keyboard-response,13,19363,0.0-2.0-1.5,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,html-keyboard-response,14,19694,0.0-2.0-0.6,327.935,<p class='task'>X X 3</p>,50,control,3,FALSE,
,html-keyboard-response,15,21198,0.0-2.0-1.6,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,html-keyboard-response,16,21429,0.0-2.0-0.7,227.4449999,<p class='task'>1 3 3</p>,50,congruent,1,FALSE,
,html-keyboard-response,17,23184,0.0-2.0-1.7,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,html-keyboard-response,18,40473,0.0-2.0-0.8,17286.445,<p class='task'>3 1 1</p>,50,incongruent,3,FALSE,long delay by me 
,html-keyboard-response,19,40979,0.0-2.0-1.8,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,
,html-keyboard-response,20,51628,0.0-3.0,10640.225,<p><strong>Control data:</strong></p><p>Accuracy: 33%</p><p>Average reaction time: 4283ms.</p><br></br><p><strong>Congruent tasks data:</strong></p><p>Accuracy: 0%</p><p>Average reaction time: NaNms.</p><br></br><p><strong>Incongruent tasks data:</strong></p><p>Accuracy: 33%</p><p>Average reaction time: 744ms.</p><br></br><p>Press any key to complete the experiment. Thank you!</p>,50,,,,
